id;name;minplayers;maxplayers;yearpublished;playingtime;image;game_category;game_mechanic
162886;Spirit Island;1;4;2017;120;162886.jpg;Fantasy, Fighting, Mythology, Territory Building;Action Retrieval, Area Majority / Influence, Automatic Resource Growth, Campaign / Battle Card Driven, Cooperative Game, Hand Management, Modular Board, Set Collection, Simultaneous Action Selection, Solo / Solitaire Game, Tags, Variable Player Powers, Variable Set-up
220308;Gaia Project;1;4;2017;150;220308.png;Civilization, Economic, Miniatures, Science Fiction, Space Exploration, Territory Building;End Game Bonuses, Hexagon Grid, Income, Modular Board, Network and Route Building, Solo / Solitaire Game, Tags, Tech Trees / Tech Tracks, Turn Order: Pass Order, Variable Player Powers, Variable Set-up, Victory Points as a Resource
12333;Twilight Struggle;2;2;2005;180;012333.jpg;Modern Warfare, Political, Wargame;Action/Event, Advantage Token, Area Majority / Influence, Campaign / Battle Card Driven, Dice Rolling, Events, Hand Management, Simulation, Simultaneous Action Selection, Sudden Death Ending, Tug of War, Variable Set-up
182028;Through the Ages: A New Story of Civilization;2;4;2015;120;182028.jpg;Card Game, Civilization, Economic;Action Points, Auction: Dutch, Auction/Bidding, Events, Income, Open Drafting, Tags, Take That
193738;Great Western Trail;2;4;2016;150;193738.jpg;American West, Animals, Economic;Deck, Bag, and Pool Building, Hand Management, Ownership, Set Collection, Track Movement, Variable Set-up
84876;The Castles of Burgundy;2;4;2011;90;084876.jpg;Dice, Medieval, Territory Building;Dice Rolling, End Game Bonuses, Grid Coverage, Hexagon Grid, Open Drafting, Pattern Building, Tile Placement, Turn Order: Stat-Based, Variable Set-up
169786;Scythe;1;5;2016;115;169786.jpg;Economic, Fighting, Science Fiction, Territory Building;Area Majority / Influence, Card Play Conflict Resolution, Contracts, End Game Bonuses, Force Commitment, Grid Movement, Hexagon Grid, King of the Hill, Movement Points, Solo / Solitaire Game, Take That, Tech Trees / Tech Tracks, Variable Player Powers, Variable Set-up, Victory Points as a Resource, Zone of Control
173346;7 Wonders Duel;2;2;2015;30;173346.jpg;Ancient, Card Game, City Building, Civilization, Economic;End Game Bonuses, Income, Layering, Market, Modular Board, Multi-Use Cards, Once-Per-Game Abilities, Open Drafting, Set Collection, Sudden Death Ending, Tags, Tech Trees / Tech Tracks, Tug of War, Variable Player Powers, Variable Set-up, Victory Points as a Resource
246900;Eclipse: Second Dawn for the Galaxy;2;6;2020;200;246900.jpg;Civilization, Exploration, Science Fiction, Space Exploration, Wargame;Alliances, Area Majority / Influence, Area-Impulse, Dice Rolling, Grid Movement, Hexagon Grid, Income, Modular Board, Passed Action Token, Tech Trees / Tech Tracks, Variable Player Powers
28720;Brass: Lancashire;2;4;2007;120;028720.jpg;Economic, Industry / Manufacturing, Post-Napoleonic, Transportation;Hand Management, Income, Loans, Market, Network and Route Building, Tech Trees / Tech Tracks, Turn Order: Stat-Based
167355;Nemesis;1;5;2018;180;167355.jpg;Adventure, Horror, Miniatures, Science Fiction;Campaign / Battle Card Driven, Cooperative Game, Dice Rolling, Hand Management, Hidden Roles, Interrupts, Modular Board, Player Elimination, Semi-Cooperative Game, Solo / Solitaire Game, Team-Based Game, Traitor Game, Variable Player Powers
124361;Concordia;2;5;2013;100;124361.jpg;Ancient, Economic, Nautical;Action Retrieval, Advantage Token, Auction: Dutch, End Game Bonuses, Hand Management, Hidden Victory Points, Investment, Movement Points, Open Drafting, Point to Point Movement, Set Collection, Variable Set-up
266507;Clank! Legacy: Acquisitions Incorporated;2;4;2019;120;266507.png;Adventure, Fantasy, Miniatures;Deck, Bag, and Pool Building, Delayed Purchase, End Game Bonuses, Events, Legacy Game, Map Addition, Movement Points, Narrative Choice / Paragraph, Once-Per-Game Abilities, Open Drafting, Pick-up and Deliver, Player Elimination, Point to Point Movement, Push Your Luck, Scenario / Mission / Campaign Game, Set Collection, Variable Player Powers, Variable Set-up
177736;A Feast for Odin;1;4;2016;120;177736.png;Economic, Farming, Industry / Manufacturing, Medieval, Puzzle;Automatic Resource Growth, Dice Rolling, Grid Coverage, Income, Push Your Luck, Solo / Solitaire Game, Tile Placement, Turn Order: Pass Order, Worker Placement
266192;Wingspan;1;5;2019;70;266192.jpg;Animals, Card Game, Educational;Contracts, Dice Rolling, End Game Bonuses, Hand Management, Once-Per-Game Abilities, Open Drafting, Set Collection, Solo / Solitaire Game, Turn Order: Progressive
120677;Terra Mystica;2;5;2012;150;120677.jpg;Civilization, Economic, Fantasy, Territory Building;Area Majority / Influence, Chaining, End Game Bonuses, Hexagon Grid, Income, Increase Value of Unchosen Resources, Network and Route Building, Tech Trees / Tech Tracks, Turn Order: Pass Order, Variable Player Powers, Variable Set-up, Victory Points as a Resource, Worker Placement, Different Worker Types
205637;Arkham Horror: The Card Game;1;2;2016;120;205637.jpg;Adventure, Card Game, Collectible Components, Exploration, Fantasy, Horror, Novel-based;Action Points, Area Movement, Communication Limits, Cooperative Game, Deck Construction, Events, Hand Management, Map Deformation, Modular Board, Push Your Luck, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Stat Check Resolution, Variable Player Powers
312484;Lost Ruins of Arnak;1;4;2020;120;312484.jpg;Adventure, Ancient, Exploration, Travel;Contracts, Deck, Bag, and Pool Building, Market, Multi-Use Cards, Once-Per-Game Abilities, Resource to Move, Solo / Solitaire Game, Turn Order: Progressive, Worker Placement
341169;Great Western Trail: Second Edition;1;4;2021;150;341169.jpg;American West, Animals, Economic;Deck, Bag, and Pool Building, Hand Management, Ownership, Set Collection, Solo / Solitaire Game, Tags, Track Movement, Variable Set-up
237182;Root;2;4;2018;90;237182.jpg;Animals, Fantasy, Territory Building, Wargame;Action Queue, Action Retrieval, Area Majority / Influence, Area Movement, Dice Rolling, Hand Management, Point to Point Movement, Race, Sudden Death Ending, Variable Player Powers, Variable Set-up
164928;Orléans;2;5;2014;90;164928.jpg;Medieval, Religious, Travel;Contracts, Deck, Bag, and Pool Building, End Game Bonuses, Events, Point to Point Movement, Simultaneous Action Selection, Tech Trees / Tech Tracks, Turn Order: Progressive, Variable Set-up, Worker Placement, Different Worker Types
96848;Mage Knight Board Game;1;4;2011;240;096848.jpg;Adventure, Exploration, Fantasy, Fighting, Miniatures;Card Play Conflict Resolution, Cooperative Game, Deck, Bag, and Pool Building, Dice Rolling, Grid Movement, Hand Management, Hexagon Grid, Modular Board, Multi-Use Cards, Open Drafting, Role Playing, Solo / Solitaire Game, Turn Order: Claim Action, Variable Player Powers
199792;Everdell;1;4;2018;80;199792.png;Animals, Card Game, City Building, Fantasy;Contracts, End Game Bonuses, Hand Management, Income, Open Drafting, Ownership, Set Collection, Solo / Solitaire Game, Variable Set-up, Worker Placement
251247;Barrage;1;4;2019;120;251247.png;Economic, Environmental, Industry / Manufacturing;Action Retrieval, Contracts, End Game Bonuses, Income, Network and Route Building, Ownership, Solo / Solitaire Game, Turn Order: Stat-Based, Variable Player Powers, Variable Set-up, Worker Placement
192135;Too Many Bones;1;4;2017;120;192135.png;Adventure, Dice, Fantasy, Fighting;Cooperative Game, Deck, Bag, and Pool Building, Dice Rolling, Die Icon Resolution, Grid Movement, Hand Management, Resource to Move, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Square Grid, Stat Check Resolution, Tech Trees / Tech Tracks, Turn Order: Role Order, Variable Player Powers
324856;The Crew: Mission Deep Sea;2;5;2021;20;324856.jpg;Card Game, Nautical, Science Fiction;Communication Limits, Cooperative Game, Hand Management, Scenario / Mission / Campaign Game, Trick-taking
183394;Viticulture Essential Edition;1;6;2015;90;183394.jpg;Economic, Farming;Contracts, Hand Management, Solo / Solitaire Game, Turn Order: Auction, Victory Points as a Resource, Worker Placement, Worker Placement, Different Worker Types
295770;Frosthaven;1;4;2022;120;295770.jpg;Adventure, Exploration, Fantasy, Fighting, Miniatures;Campaign / Battle Card Driven, Communication Limits, Cooperative Game, Deck Construction, Deck, Bag, and Pool Building, Grid Movement, Hand Management, Hexagon Grid, Legacy Game, Modular Board, Multi-Use Cards, Once-Per-Game Abilities, Scenario / Mission / Campaign Game, Simultaneous Action Selection, Solo / Solitaire Game, Variable Player Powers
175914;Food Chain Magnate;2;5;2015;240;175914.png;Economic, Industry / Manufacturing;Deck, Bag, and Pool Building, Delayed Purchase, Income, Market, Modular Board, Open Drafting, Simultaneous Action Selection, Victory Points as a Resource
285774;Marvel Champions: The Card Game;1;4;2019;90;285774.jpg;Card Game, Collectible Components, Comic Book / Strip, Fighting;Cooperative Game, Deck Construction, Hand Management, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Turn Order: Progressive, Variable Player Powers, Variable Set-up
256960;Pax Pamir: Second Edition;1;5;2019;120;256960.png;Economic, Educational, Negotiation, Political, Post-Napoleonic, Spies/Secret Agents;Action Points, Area Majority / Influence, Area Movement, Auction: Dutch, Hand Management, Increase Value of Unchosen Resources, Negotiation, Open Drafting, Score-and-Reset Game, Simulation, Solo / Solitaire Game, Tags
247763;Underwater Cities;1;4;2018;150;247763.png;Card Game, City Building, Civilization, Industry / Manufacturing, Nautical, Science Fiction;End Game Bonuses, Hand Management, Income, Network and Route Building, Solo / Solitaire Game, Turn Order: Claim Action, Turn Order: Stat-Based, Worker Placement
3076;Puerto Rico;3;5;2002;150;003076.jpg;City Building, Economic, Farming;Action Drafting, End Game Bonuses, Follow, Hidden Victory Points, Increase Value of Unchosen Resources, Turn Order: Progressive, Variable Phase Order
102794;Caverna: The Cave Farmers;1;7;2013;210;102794.jpg;Animals, Economic, Fantasy, Farming;Automatic Resource Growth, Increase Value of Unchosen Resources, Solo / Solitaire Game, Tile Placement, Turn Order: Claim Action, Worker Placement
295947;Cascadia;1;4;2021;45;295947.jpg;Animals, Environmental, Puzzle;End Game Bonuses, Hexagon Grid, Open Drafting, Pattern Building, Solo / Solitaire Game, Tile Placement, Variable Set-up, Victory Points as a Resource
170216;Blood Rage;2;4;2015;90;170216.jpg;Fantasy, Fighting, Miniatures, Mythology;Action Points, Area Majority / Influence, Area Movement, Card Play Conflict Resolution, Closed Drafting, Hand Management, Map Reduction, Memory, Open Drafting, Simultaneous Action Selection
366013;Heat: Pedal to the Metal;1;6;2022;60;366013.png;Racing, Sports;Catch the Leader, Hand Management, Push Your Luck, Race, Simulation, Simultaneous Action Selection, Solo / Solitaire Game, Track Movement, Variable Set-up
184267;On Mars;1;4;2020;150;184267.jpg;City Building, Economic, Exploration, Science Fiction, Space Exploration, Territory Building;Contracts, Delayed Purchase, End Game Bonuses, Hexagon Grid, Income, Movement Points, Moving Multiple Units, Set Collection, Solo / Solitaire Game, Tech Trees / Tech Tracks, Tile Placement, Variable Phase Order, Worker Placement
185343;Anachrony;1;4;2017;120;185343.jpg;Economic, Science Fiction;Dice Rolling, Solo / Solitaire Game, Turn Order: Claim Action, Variable Player Powers, Worker Placement, Worker Placement, Different Worker Types
521;Crokinole;2;4;1876;30;000521.jpg;Action / Dexterity;Flicking, Team-Based Game
31260;Agricola;1;5;2007;150;031260.jpg;Animals, Economic, Farming;Automatic Resource Growth, Closed Drafting, Enclosure, Hand Management, Increase Value of Unchosen Resources, Solo / Solitaire Game, Turn Order: Claim Action, Variable Player Powers, Worker Placement
255984;Sleeping Gods;1;4;2021;1200;255984.png;Adventure, Exploration, Fantasy, Nautical;Action Points, Cooperative Game, Events, Hand Management, Narrative Choice / Paragraph, Push Your Luck, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Storytelling
314040;Pandemic Legacy: Season 0;2;4;2020;60;314040.jpg;Spies/Secret Agents;Action Points, Cooperative Game, Hand Management, Legacy Game, Point to Point Movement, Scenario / Mission / Campaign Game, Set Collection, Tags, Trading, Variable Player Powers
284378;Kanban EV;1;4;2020;180;284378.jpg;Economic, Industry / Manufacturing;Action Points, Hand Management, Variable Phase Order, Worker Placement
221107;Pandemic Legacy: Season 2;2;4;2017;60;221107.jpg;Environmental, Exploration, Medical, Science Fiction;Action Points, Cooperative Game, Hand Management, Legacy Game, Pick-up and Deliver, Point to Point Movement, Set Collection, Tags, Trading, Variable Player Powers
205059;Mansions of Madness: Second Edition;1;5;2016;180;205059.jpg;Adventure, Exploration, Fighting, Horror, Miniatures, Murder/Mystery, Puzzle;Area Movement, Cooperative Game, Dice Rolling, Hand Management, Map Addition, Modular Board, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Stat Check Resolution, Traitor Game, Variable Player Powers
161533;Lisboa;1;4;2017;120;161533.jpg;City Building, Economic, Industry / Manufacturing, Political;Area Majority / Influence, Hand Management, Open Drafting, Solo / Solitaire Game, Tile Placement
276025;Maracaibo;1;4;2019;120;276025.jpg;Economic, Exploration, Pirates;Contracts, End Game Bonuses, Events, Hand Management, Income, Movement Points, Multi-Use Cards, Narrative Choice / Paragraph, Point to Point Movement, Scenario / Mission / Campaign Game, Set Collection, Solo / Solitaire Game, Stock Holding, Tech Trees / Tech Tracks, Track Movement, Variable Set-up
126163;Tzolk'in: The Mayan Calendar;2;4;2012;90;126163.jpg;Ancient, Civilization, Economic, Farming, Mythology;Bias, End Game Bonuses, Turn Order: Claim Action, Worker Placement
2651;Power Grid;2;6;2004;120;002651.jpg;Economic, Industry / Manufacturing;Auction: Turn Order Until Pass, Auction/Bidding, Catch the Leader, Income, Market, Network and Route Building, Turn Order: Stat-Based, Variable Set-up
244521;The Quacks of Quedlinburg;2;4;2018;45;244521.png;Medieval;Catch the Leader, Deck, Bag, and Pool Building, Delayed Purchase, Dice Rolling, Events, Market, Push Your Luck, Simultaneous Action Selection, Variable Set-up
216132;Clans of Caledonia;1;4;2017;120;216132.png;Economic, Farming;Commodity Speculation, Contracts, Market, Modular Board, Network and Route Building, Solo / Solitaire Game, Turn Order: Pass Order, Variable Player Powers
35677;Le Havre;1;5;2008;150;035677.jpg;City Building, Economic, Industry / Manufacturing, Nautical;Automatic Resource Growth, End Game Bonuses, Increase Value of Unchosen Resources, Loans, Ownership, Solo / Solitaire Game, Worker Placement
266810;Paladins of the West Kingdom;1;4;2019;120;266810.png;Medieval;End Game Bonuses, Market, Open Drafting, Solo / Solitaire Game, Worker Placement, Worker Placement, Different Worker Types
164153;Star Wars: Imperial Assault;1;5;2014;120;164153.jpg;Adventure, Exploration, Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame;Dice Rolling, Die Icon Resolution, Grid Movement, Line of Sight, Modular Board, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Square Grid, Team-Based Game, Variable Player Powers
253344;Cthulhu: Death May Die;1;5;2019;120;253344.jpg;Fantasy, Fighting, Horror, Miniatures, Novel-based;Action Points, Cooperative Game, Dice Rolling, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Variable Player Powers
125153;The Gallerist;1;4;2015;150;125153.png;Economic;Area Majority / Influence, Commodity Speculation, Contracts, Investment, Open Drafting, Point to Point Movement, Resource to Move, Set Collection, Solo / Solitaire Game, Victory Points as a Resource, Worker Placement, Worker Placement, Different Worker Types
284083;The Crew: The Quest for Planet Nine;2;5;2019;20;284083.jpg;Card Game, Science Fiction, Space Exploration;Communication Limits, Cooperative Game, Hand Management, Scenario / Mission / Campaign Game, Trick-taking
182874;Grand Austria Hotel;2;4;2015;120;182874.jpg;Economic;Action Drafting, Contracts, Dice Rolling, End Game Bonuses, Hand Management, Set Collection, Variable Set-up
209010;Mechs vs. Minions;2;4;2016;120;209010.jpg;Fantasy, Fighting, Miniatures, Video Game Theme;Action Queue, Bias, Cooperative Game, Dice Rolling, Modular Board, Open Drafting, Programmed Movement, Role Playing, Slide/Push, Variable Player Powers
231733;Obsession;1;4;2018;90;231733.png;Post-Napoleonic;Action Retrieval, Deck, Bag, and Pool Building, Hand Management, Open Drafting, Solo / Solitaire Game, Worker Placement, Worker Placement, Different Worker Types
124742;Android: Netrunner;2;2;2012;45;124742.jpg;Bluffing, Card Game, Collectible Components, Science Fiction;Action Points, Deck Construction, Hand Management, Race, Secret Unit Deployment, Take That, Variable Player Powers
55690;Kingdom Death: Monster;1;4;2015;180;055690.jpg;Adventure, Fantasy, Horror, Mature / Adult, Miniatures, Mythology;Cooperative Game, Critical Hits and Failures, Dice Rolling, Grid Movement, Role Playing, Solo / Solitaire Game, Storytelling
230802;Azul;2;4;2017;45;230802.png;Abstract Strategy, Puzzle, Renaissance;End Game Bonuses, Open Drafting, Pattern Building, Set Collection, Tile Placement, Turn Order: Claim Action
200680;Agricola (Revised Edition);1;4;2016;120;200680.jpg;Animals, Economic, Farming;Enclosure, Hand Management, Worker Placement, Advantage Token, Automatic Resource Growth, Closed Drafting, Increase Value of Unchosen Resources, Solo / Solitaire Game, Team-Based Game, Turn Order: Claim Action, Variable Player Powers
28143;Race for the Galaxy;2;4;2007;60;028143.jpg;Card Game, Civilization, Economic, Science Fiction, Space Exploration;Follow, Hand Management, Income, Market, Multi-Use Cards, Set Collection, Simultaneous Action Selection, Tags, Turn Order: Role Order, Variable Phase Order, Variable Player Powers
72125;Eclipse: New Dawn for the Galaxy;2;6;2011;180;072125.jpg;Civilization, Fighting, Miniatures, Science Fiction, Space Exploration, Wargame;Dice Rolling, Grid Movement, Hexagon Grid, Map Addition, Modular Board, Player Elimination, Tile Placement, Variable Phase Order, Variable Player Powers
157354;Five Tribes: The Djinns of Naqala;2;4;2014;80;157354.jpg;Arabian, Fantasy, Mythology;Auction/Bidding, Constrained Bidding, End Game Bonuses, Hidden Victory Points, Mancala, Modular Board, Set Collection, Square Grid, Take That, Turn Order: Auction, Variable Player Powers, Variable Set-up, Victory Points as a Resource
191189;Aeon's End;1;4;2016;60;191189.jpg;Card Game, Fantasy, Fighting, Science Fiction;Chit-Pull System, Cooperative Game, Deck, Bag, and Pool Building, Delayed Purchase, Hand Management, Open Drafting, Solo / Solitaire Game, Variable Phase Order, Variable Player Powers, Variable Set-up
201808;Clank!: A Deck-Building Adventure;2;4;2016;60;201808.jpg;Adventure, Fantasy;Action Points, Deck, Bag, and Pool Building, Delayed Purchase, End Game Bonuses, Movement Points, Open Drafting, Player Elimination, Point to Point Movement, Push Your Luck, Variable Set-up
159675;Fields of Arle;1;2;2014;120;159675.png;Economic, Farming, Industry / Manufacturing;Automatic Resource Growth, Highest-Lowest Scoring, Income, Set Collection, Solo / Solitaire Game, Turn Order: Claim Action, Turn Order: Progressive, Worker Placement
229853;Teotihuacan: City of Gods;1;4;2018;120;229853.jpg;Ancient;Area Movement, Rondel, Set Collection, Solo / Solitaire Game, Tile Placement, Track Movement, Variable Set-up, Worker Placement with Dice Workers
25613;Through the Ages: A Story of Civilization;2;4;2006;120;025613.jpg;Civilization, Economic;Action Points, Auction: Dutch, Auction/Bidding, Hand Management, Open Drafting
317985;Beyond the Sun;2;4;2020;120;317985.jpg;Civilization, Science Fiction, Space Exploration;Area Majority / Influence, Contracts, Events, Point to Point Movement, Tech Trees / Tech Tracks, Worker Placement
110327;Lords of Waterdeep;2;5;2012;120;110327.jpg;City Building, Fantasy;Contracts, Hidden Roles, Increase Value of Unchosen Resources, Ownership, Set Collection, Take That, Turn Order: Claim Action, Worker Placement
62219;Dominant Species;2;6;2010;240;062219.jpg;Animals, Environmental, Prehistoric;Action Queue, Area Majority / Influence, End Game Bonuses, Grid Movement, Hexagon Grid, Map Addition, Open Drafting, Take That, Tile Placement, Turn Order: Claim Action, Variable Player Powers, Worker Placement
171623;The Voyages of Marco Polo;2;4;2015;100;171623.png;Dice, Economic, Medieval, Travel;Contracts, Dice Rolling, Point to Point Movement, Resource to Move, Turn Order: Claim Action, Variable Player Powers, Variable Set-up, Worker Placement with Dice Workers
121921;Robinson Crusoe: Adventures on the Cursed Island;1;4;2012;120;121921.jpg;Adventure, Exploration, Fighting, Novel-based, Territory Building;Action Queue, Area Movement, Cooperative Game, Dice Rolling, Die Icon Resolution, Events, Hexagon Grid, Map Addition, Movement Points, Narrative Choice / Paragraph, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Tile Placement, Turn Order: Progressive, Variable Player Powers, Worker Placement
68448;7 Wonders;2;7;2010;30;068448.jpg;Ancient, Card Game, City Building, Civilization, Economic;Closed Drafting, Hand Management, Neighbor Scope, Set Collection, Simultaneous Action Selection, Variable Player Powers
251661;Oathsworn: Into the Deepwood;1;4;2022;90;251661.jpg;Adventure, Card Game, Dice, Exploration, Fantasy, Fighting, Miniatures, Mythology, Puzzle;Action Points, Card Play Conflict Resolution, Cooperative Game, Deck, Bag, and Pool Building, Dice Rolling, Hand Management, Hexagon Grid, Legacy Game, Modular Board, Pattern Recognition, Push Your Luck, Role Playing, Scenario / Mission / Campaign Game, Storytelling, Variable Player Powers
279537;The Search for Planet X;1;4;2020;75;279537.jpg;Deduction, Puzzle;Action Points, Deduction, End Game Bonuses, Paper-and-Pencil, Solo / Solitaire Game, Turn Order: Time Track
93;El Grande;2;5;1995;120;000093.jpg;Medieval, Renaissance;Action Drafting, Area Majority / Influence, Area Movement, Auction/Bidding, Hand Management, Memory, Open Drafting, Selection Order Bid, Simultaneous Action Selection, Turn Order: Progressive, Turn Order: Stat-Based
264220;Tainted Grail: The Fall of Avalon;1;4;2019;120;264220.jpg;Adventure, Exploration, Fantasy, Mature / Adult, Medieval, Miniatures, Mythology, Travel;Area Movement, Campaign / Battle Card Driven, Cooperative Game, Deck, Bag, and Pool Building, Dice Rolling, Hand Management, Map Addition, Modular Board, Narrative Choice / Paragraph, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Storytelling, Variable Player Powers
236457;Architects of the West Kingdom;1;5;2018;80;236457.png;City Building, Medieval;Contracts, Increase Value of Unchosen Resources, Open Drafting, Solo / Solitaire Game, Tags, Variable Player Powers, Worker Placement
37111;Battlestar Galactica: The Board Game;3;6;2008;180;037111.jpg;Bluffing, Deduction, Movies / TV / Radio theme, Political, Science Fiction, Space Exploration, Spies/Secret Agents;Area Movement, Dice Rolling, Hand Management, Hidden Roles, Once-Per-Game Abilities, Role Playing, Team-Based Game, Traitor Game, Variable Player Powers, Variable Set-up, Voting
225694;Decrypto;3;8;2018;45;225694.jpg;Deduction, Party Game, Spies/Secret Agents, Word Game;Communication Limits, Targeted Clues, Team-Based Game
155821;Inis;2;4;2016;90;155821.jpg;Card Game, Exploration, Medieval, Mythology, Wargame;Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Closed Drafting, Hand Management, Interrupts, King of the Hill, Map Addition, Modular Board, Variable Set-up
180263;The 7th Continent;1;4;2017;1000;180263.jpg;Adventure, Card Game, Exploration, Science Fiction;Area Movement, Cooperative Game, Hand Management, Map Addition, Modular Board, Narrative Choice / Paragraph, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Storytelling, Variable Player Powers
163068;Trickerion: Legends of Illusion;2;4;2015;180;163068.png;Post-Napoleonic;Action Points, Action Queue, Catch the Leader, Dice Rolling, Simultaneous Action Selection, Tile Placement, Turn Order: Stat-Based, Worker Placement, Worker Placement, Different Worker Types
122515;Keyflower;2;6;2012;120;122515.jpg;City Building, Economic, Renaissance, Territory Building, Transportation;Auction: Fixed Placement, Auction: Multiple Lot, Auction/Bidding, Constrained Bidding, End Game Bonuses, Hexagon Grid, Modular Board, Network and Route Building, Ownership, Selection Order Bid, Set Collection, Tile Placement, Turn Order: Auction, Variable Set-up, Worker Placement, Worker Placement, Different Worker Types
170042;Raiders of the North Sea;2;4;2015;80;170042.jpg;Medieval, Nautical;Contracts, Dice Rolling, Hand Management, Worker Placement, Worker Placement, Different Worker Types
18602;Caylus;2;5;2005;150;018602.jpg;City Building, Economic, Medieval;Action Queue, Ownership, Turn Order: Claim Action, Turn Order: Pass Order, Variable Set-up, Worker Placement
42;Tigris & Euphrates;2;4;1997;90;000042.jpg;Abstract Strategy, Ancient, Civilization, Territory Building;Area Majority / Influence, Connections, Hand Management, Hidden Victory Points, Highest-Lowest Scoring, Income, Set Collection, Square Grid, Tile Placement
40834;Dominion: Intrigue;2;6;2009;30;040834.jpg;Card Game, Medieval;Deck, Bag, and Pool Building, Delayed Purchase, Hand Management
